Individual Time_inf Time
7 1.625000 0.250000
35 2.125000 0.000000
38 0.625000 1.500000
68 1.375000 1.250000
110 0.875000 0.750000
114 2.375000 0.250000
116 0.125000 1.000000
119 1.125000 1.750000
147 1.125000 0.750000
210 0.125000 0.750000
211 0.375000 0.500000
227 1.625000 0.250000
233 1.375000 0.500000
245 1.875000 0.250000
264 0.125000 0.250000
266 0.625000 0.000000
271 0.625000 0.250000
293 0.625000 1.000000
301 1.125000 1.250000
343 0.375000 0.500000
353 1.875000 0.500000
355 0.625000 1.750000
360 0.875000 1.250000
403 1.625000 1.250000
418 2.125000 0.500000
424 0.875000 0.000000
439 1.375000 1.000000
441 0.875000 2.000000
472 0.625000 1.500000
486 0.875000 2.000000
518 0.875000 0.500000
522 0.875000 2.000000
531 2.625000 0.000000
542 1.375000 0.000000
572 2.375000 0.000000
597 2.375000 0.250000
610 0.875000 0.750000
630 0.125000 1.750000
634 1.625000 1.000000
636 1.625000 0.500000
649 2.375000 0.250000
655 1.125000 1.250000
657 0.125000 0.500000
696 2.375000 0.500000
719 0.875000 1.500000
734 1.375000 1.000000
738 2.875000 0.000000
762 0.875000 0.250000
802 1.375000 0.500000
819 1.125000 1.750000
820 0.875000 1.250000
824 2.375000 0.500000
826 0.375000 1.000000
842 1.875000 0.250000
864 1.125000 0.500000
876 0.875000 0.250000
878 1.625000 0.500000
884 0.125000 0.000000
889 0.625000 0.500000
959 0.375000 1.000000
961 0.375000 0.250000
969 2.375000 0.000000
975 0.375000 0.500000
989 2.125000 0.000000
1024 0.875000 0.250000
1053 2.125000 0.500000
1063 1.875000 0.250000
1099 0.125000 0.000000
1101 1.625000 0.500000
1128 0.375000 0.500000
1131 2.625000 0.000000
1146 0.125000 0.000000
1148 2.375000 0.000000
1203 0.875000 1.750000
1212 1.375000 1.250000
1233 2.125000 0.500000
1291 0.625000 0.750000
1319 0.875000 0.250000
1351 0.375000 0.500000
1371 0.375000 1.750000
1384 1.625000 0.500000
1423 1.625000 0.750000
1424 0.875000 0.500000
1490 2.375000 0.250000
1517 0.375000 0.500000
1532 1.125000 0.250000
1564 1.375000 0.250000
1607 0.125000 2.000000
1652 2.375000 0.500000
1715 1.625000 1.000000
1729 1.625000 1.250000
1795 1.375000 0.750000
1804 2.375000 0.250000
1812 1.375000 1.250000
1821 0.375000 0.000000
1882 1.375000 1.000000
1933 1.875000 0.500000
1966 0.125000 0.500000
1989 0.875000 0.250000
2019 1.125000 0.500000
2044 1.625000 0.250000
2050 1.875000 0.250000
2060 1.625000 0.500000
2073 2.125000 0.250000
2075 1.125000 0.750000
2082 0.625000 1.250000
2087 0.375000 1.000000
2102 1.875000 0.250000
2130 0.625000 0.750000
2155 0.125000 0.000000
2185 1.375000 0.750000
2216 0.125000 2.250000
2237 0.625000 0.250000
2258 1.625000 0.000000
2286 0.125000 0.750000
2306 1.125000 1.250000
2344 1.375000 0.500000
2378 1.125000 0.250000
2403 2.875000 0.000000
2408 1.375000 0.000000
2410 1.625000 0.250000
2420 1.375000 0.250000
2422 2.125000 0.500000
2449 1.375000 0.750000
2453 2.875000 0.000000
2462 0.125000 1.500000
2464 1.625000 1.250000
2474 0.625000 1.750000
2504 0.125000 0.500000
2525 0.375000 1.000000
2544 1.375000 1.250000
2546 2.125000 0.250000
2561 2.375000 0.250000
2580 0.375000 0.500000
2596 0.625000 0.000000
2634 2.625000 0.000000
2703 0.125000 0.250000
2722 1.125000 0.750000
2725 0.125000 0.500000
2737 0.375000 1.750000
2836 0.375000 0.000000
2837 2.375000 0.500000
2859 1.875000 0.500000
2864 2.125000 0.750000
2874 1.875000 0.250000
2882 2.625000 0.000000
2892 0.875000 0.750000
2911 1.375000 1.500000
2988 0.625000 0.750000
