Individual Time_inf Time
22 2.375000 0.250000
23 1.375000 0.000000
158 0.125000 0.250000
174 1.375000 1.250000
176 2.125000 0.500000
177 0.875000 1.750000
229 1.875000 0.250000
262 0.125000 0.750000
281 0.125000 0.250000
306 1.625000 1.000000
320 0.125000 0.250000
341 0.625000 0.750000
417 0.625000 0.500000
460 1.875000 0.250000
480 0.125000 0.000000
493 2.125000 0.750000
522 0.625000 0.000000
533 2.125000 0.000000
542 1.625000 0.500000
576 2.375000 0.500000
592 2.125000 0.250000
640 0.375000 1.500000
668 1.375000 0.000000
677 2.375000 0.500000
765 0.375000 1.250000
773 1.625000 0.750000
779 0.375000 0.250000
842 0.625000 1.000000
845 0.875000 0.250000
874 2.125000 0.000000
896 1.625000 1.000000
918 1.875000 0.250000
926 2.375000 0.000000
965 2.375000 0.500000
988 2.125000 0.500000
1107 1.125000 0.250000
1144 0.375000 1.000000
1192 0.625000 1.750000
1213 1.625000 0.500000
1229 0.625000 0.500000
1241 0.125000 1.500000
1256 0.125000 2.750000
1312 2.125000 0.500000
1345 1.625000 0.750000
1398 0.625000 0.000000
1399 0.125000 1.250000
1404 0.375000 0.500000
1466 0.875000 0.250000
1478 0.375000 0.250000
1482 0.125000 0.000000
1510 1.625000 0.250000
1529 2.125000 0.250000
1532 0.875000 0.250000
1605 0.125000 1.000000
1667 0.375000 0.750000
1701 1.125000 0.250000
1722 0.375000 1.000000
1756 0.125000 0.750000
1794 0.875000 2.000000
1797 1.125000 1.000000
1809 1.375000 0.250000
1840 0.125000 0.500000
2019 0.125000 2.250000
2049 1.375000 0.500000
2225 1.375000 1.500000
2237 0.125000 0.750000
2298 0.625000 0.250000
2307 0.375000 1.000000
2329 2.625000 0.250000
2340 1.375000 0.000000
2360 2.125000 0.000000
2399 1.375000 0.500000
2446 1.875000 0.750000
2450 0.875000 1.250000
2454 1.625000 0.250000
2486 1.125000 1.250000
2550 0.125000 0.250000
2574 0.875000 0.000000
2575 1.875000 0.750000
2623 0.375000 1.000000
2629 0.125000 1.500000
2632 0.875000 0.250000
2653 0.875000 0.750000
2739 0.375000 1.250000
2783 0.625000 2.000000
2785 0.625000 0.500000
2818 1.625000 0.250000
2862 0.125000 0.750000
2866 1.125000 0.750000
2966 0.625000 1.250000
2971 1.125000 0.750000
